id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,document
27287501,Bedroom with Private bathroom in East Village,205564408,Patrick,Manhattan,East Village,40.72706,-73.97759,Private room,60,30,5,2018-12-26,0.09,1,0,0,New York City,Bedroom with Private bathroom in East Village. Room type: Private room. City: New York City. Neighbourhood: East Village. Price: $60 per night. Minimum nights: 30. Reviews: 5.
49124895,East Brooklyn,395972423,Shem,Brooklyn,East New York,40.65763,-73.89398,Entire home/apt,180,2,40,2023-01-01,1.74,1,356,17,New York City,East Brooklyn. Room type: Entire home/apt. City: New York City. Neighbourhood: East New York. Price: $180 per night. Minimum nights: 2. Reviews: 40.
766760101825533808,QUICK! Private room in shared basement,374799676,Sonia,Brooklyn,Sunset Park,40.64369,-74.01221,Private room,40,1,2,2022-12-29,0.59,2,342,2,New York City,QUICK! Private room in shared basement. Room type: Private room. City: New York City. Neighbourhood: Sunset Park. Price: $40 per night. Minimum nights: 1. Reviews: 2.
31761417,Large quiet apt. Right next to everything you need,123060492,DeShawn,Queens,Astoria,40.76851,-73.91598,Entire home/apt,75,30,2,2019-03-04,0.04,1,0,0,New York City,Large quiet apt. Right next to everything you need. Room type: Entire home/apt. City: New York City. Neighbourhood: Astoria. Price: $75 per night. Minimum nights: 30. Reviews: 2.
54102360,Midtown Elegant Corner Loft  With  Great Views #19,438550739,Fernando Alberto,Manhattan,Midtown,40.74622,-73.98698,Entire home/apt,115,1,47,2023-02-24,3.93,4,246,47,New York City,Midtown Elegant Corner Loft  With  Great Views #19. Room type: Entire home/apt. City: New York City. Neighbourhood: Midtown. Price: $115 per night. Minimum nights: 1. Reviews: 47.
52096040,“Rustic Urban Cocktail Retreat”: Bright Air Cozy,229149668,Paul,Brooklyn,Bedford-Stuyvesant,40.68322,-73.95626,Entire home/apt,200,3,22,2023-02-15,1.26,4,302,21,New York City,“Rustic Urban Cocktail Retreat”: Bright Air Cozy. Room type: Entire home/apt. City: New York City. Neighbourhood: Bedford-Stuyvesant. Price: $200 per night. Minimum nights: 3. Reviews: 22.
40624298,"Shared Room for Traveler ,NYC",314533486,John J.,Manhattan,Hell's Kitchen,40.76455,-73.99111,Shared room,85,30,3,2020-02-17,0.08,8,0,0,New York City,"Shared Room for Traveler ,NYC. Room type: Shared room. City: New York City. Neighbourhood: Hell's Kitchen. Price: $85 per night. Minimum nights: 30. Reviews: 3."
663254704709246633,Lovely studio in New York City,467064305,Vania,Manhattan,Upper West Side,40.77742582020671,-73.97862167665838,Entire home/apt,279,1,2,2023-01-30,1.18,2,258,2,New York City,Lovely studio in New York City. Room type: Entire home/apt. City: New York City. Neighbourhood: Upper West Side. Price: $279 per night. Minimum nights: 1. Reviews: 2.
839087472775677847,Amazing Times Square Apartment,458319841,Angelo Gabriel,Manhattan,Hell's Kitchen,40.76384092491648,-73.9941968284416,Entire home/apt,186,1,0,,0.0,1,33,0,New York City,Amazing Times Square Apartment. Room type: Entire home/apt. City: New York City. Neighbourhood: Hell's Kitchen. Price: $186 per night. Minimum nights: 1. Reviews: 0.
49107036,Entire apartment - Mott Haven  - 2 Bedroom,357257077,Clarissa & Tano,Bronx,Mott Haven,40.80836,-73.91417,Entire home/apt,154,3,42,2023-02-19,1.95,1,67,24,New York City,Entire apartment - Mott Haven  - 2 Bedroom. Room type: Entire home/apt. City: New York City. Neighbourhood: Mott Haven. Price: $154 per night. Minimum nights: 3. Reviews: 42.
